set,id,face,side,time,es,en
system_dialog,SYSMSG_DEMO_TITLE,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,@[The Weave@]|Demo técnica|Junio de 2025,@[The Weave@]|Tech demo|June 2025
system_dialog,SYSMSG_DISCLAIMER,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,"Los gráficos, mecánicas o sonidos|no son definitivos, ni|representan el resultado final","Graphics, mechanics or sounds|aren't final, nor they|represent the final result"
system_dialog,NULL,0,false,DEFAULT_TALK_TIME,,
system_dialog,SYSMSG_CANT_USE_PATTERN,FACE_linus,SIDE_LEFT,DEFAULT_TALK_TIME,No puedo usar ese patrón|ahora mismo,I can't use that pattern|right now
act1_corridor,A1_CORRIDOR_OVERSLEPT,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Creo que he dormido demasiado|Debo llegar rápido al salón,I think I've overslept|I should go to the hall quickly
act1_corridor,A1_CORRIDOR_MEMORIES,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Aunque siendo el día que es|este pasillo me trae|@[demasiados recuerdos@],Although in a day like this|this hallway brings back|too @[many memories@]
act1_corridor,NULL,0,false,DEFAULT_TALK_TIME,,
act1_corridor,A1_CORRIDOR_DOOR1_CHECK,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,No puedo entrar en el cuarto|de los ancianos sin su permiso,I can't enter the elders' room|without their permission
act1_corridor,A1_CORRIDOR_DOOR2_CHECK,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Luego iré a la biblioteca|Me paso allí media vida,I'll go to the library later|I spend half my life there
act1_corridor,A1_CORRIDOR_DOOR3_CHECK,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Luego volveré a mi cuarto|Ahora me esperan,I'll go back to my room later|Now I have to go
act1_corridor,A1_CORRIDOR_MAP_CHECK,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Tenemos la mejor colección|de mapas de @[todos los gremios@],We have the best collection|of maps from @[all guilds@]
act1_corridor,A1_CORRIDOR_REVISIT_MEMORIES,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Antes de irme quiero|repasar algunos recuerdos|Se lo debo a papá,Before I leave I want to|revisit some memories|I owe it to dad
act1_corridor,NULL,0,false,DEFAULT_TALK_TIME,,
act1_corridor,A1_CORRIDOR_BOOK_HISTORY,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Este tomo narra la historia|de nuestro gremio|desde la @[Gran Separación@],This volume narrates the history|of our guild|since the @[Great Split@]
act1_corridor,A1_CORRIDOR_BOOK_ENDS_WITH_FATHER,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,El último capítulo|termina con el fallecimiento|de mi padre,The last chapter|ends with the passing|of my father
act1_corridor,A1_CORRIDOR_BOOK_MOTHER_WRITES_NEXT,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Madre dice que seré yo|el que deba escribir|el siguiente,Mother says it will be me|who has to write|the next one
act1_corridor,NULL,0,false,DEFAULT_TALK_TIME,,
act1_corridor,A1_CORRIDOR_MYTH_COLLECTION,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Una colección de|mitos y leyendas|de los distintos gremios,A collection of|myths and legends|from the different guilds
act1_corridor,A1_CORRIDOR_MYTH_PASTORS,FACE_linus,SIDE_RIGHT,DEFAULT_TALK_TIME,Gracias a mi padre|tenemos documentadas|las que cantaban los @[Pastores@],Thanks to my father|we have documented|those the @[Shepherds@] sang
act1_hall,A1_HALL_GUILD_YEAR,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,@[Gremio de los historiadores@]|Año 8121,@[Historians guild@]|Year 8121
act1_hall,A1_HALL_MONDAY_MORNING,FACE_none,SIDE_LEFT,DEFAULT_TALK_TIME,Lunes|Primera hora de la mañana,Monday|Early morning
act1_hall,NULL,0,false,DEFAULT_TALK_TIME,,
act1_hall,A1_HALL_CLIO_LATE,FACE_clio,SIDE_LEFT,DEFAULT_TALK_TIME,"Es tarde, Linus|Y uno no debe llegar tarde|a su cumpleaños","It's late, Linus|And you shouldn't be late|at your birthday"
